ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2014,2,32,1,1,169,0111.0020,1,S,1,4,9,,15,15,,45,3000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0111.0070,1,N,1,4,9,,40,40,,72,1800,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0113.0010,0,N,1,4,9,0,20,20,,900,45000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0119.1040,1,N,1,4,9,,40,40,,32,800,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0119.2050,0,N,1,4,9,0,70,70,,3150,45000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0119.3020,0,S,1,4,9,,5,5,,125,25000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0119.4040,0,N,1,4,9,0,50,50,,750,15000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0119.9010,0,N,1,4,9,,5,5,,75,15000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0121.3110,0,S,1,4,9,,5,5,,75,15000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0131.0010,0,N,1,4,9,0,15,15,,135,9000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0133.1070,0,N,1,4,9,4,2,2,,20,10000,,Produto em início no município,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0133.2340,0,N,1,4,9,20,40,40,,400,10000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0133.3030,0,N,1,4,9,0,10,10,,50,5000,,Falta de Tratos Culturais adequados.,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0134.0021,0,N,1,4,0,50,850,850,,638,751,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0134.0022,0,N,1,4,9,200,1400,1400,,1680,1200,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0134.0022,0,S,1,4,9,400,500,500,,1100,2200,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,169,0139.2010,0,N,1,12,9,60,0,0,,0,0,,Produto em Desenvolvimento.,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0111.0020,1,N,1,4,9,,200,200,,400,2000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0111.0070,1,N,1,4,9,,280,280,,667,2382,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0119.1040,1,N,1,4,9,,140,140,,84,600,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0119.2050,0,N,1,4,9,0,47,47,,940,20000,,"Trata-se de uma cana para gado, sem tratos culturais",22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0119.3010,0,N,1,4,9,2,1,1,,35,35000,,Condições de Solo Favoráveis e mudas de boa qualidade,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0119.3020,0,N,1,4,9,,3,3,,60,20000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0119.4040,0,N,1,4,9,0,42,42,,630,15000,,,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0121.6040,0,N,1,4,9,,23,23,,69,3000,,,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0132.0020,0,N,1,4,9,1,1,1,,8,8000,,Cultura em experiência.,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0133.2080,0,N,1,4,9,,11,11,,44,4000,,Falta de técnicas adequadas,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0133.2080,0,S,1,4,9,24,95,95,,855,9000,,,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0133.2340,0,N,1,4,9,26,54,54,,1296,24000,,,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0133.3030,0,N,1,4,9,,150,150,,1350,9000,,falta de técnicas adequadas.,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0134.0022,0,N,1,4,9,250,2150,2150,,3250,1512,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0134.0022,0,S,1,4,9,800,3600,3600,,8640,2400,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0135.0010,0,N,1,4,9,2,2,2,,1,500,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,904,0139.2010,0,N,1,4,9,7,2,2,,5,2500,,Condições de solo favoráveis,24/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0111.0020,1,N,1,4,9,,15,15,,45,3000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0111.0070,1,N,1,4,9,,10,10,,18,1800,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0113.0010,0,N,1,4,9,0,25,25,,1500,60000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0119.1040,1,N,1,4,9,,15,15,,9,600,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0119.2050,0,N,1,4,9,0,380,380,,22800,60000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0119.3010,0,N,1,4,9,0,1,1,,20,20000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0119.4040,0,N,1,4,9,0,30,30,,450,15000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0119.9010,0,N,1,4,9,,5,5,,50,10000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0121.2100,0,S,1,4,9,,1,1,,50,50000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0121.3050,0,N,1,4,9,,2,2,,20,10000,,falta de técnicas adequadas,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0121.3110,0,N,1,4,9,,2,2,,36,18000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0131.0010,0,N,1,4,9,0,5,5,,40,8000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0132.0020,0,N,1,4,7,3,2,2,,20,10000,,Desestímulo por parte dos produtores.,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0133.1040,0,N,1,4,9,0,5,5,,80,16000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0133.2080,0,N,1,4,9,0,50,50,,650,13000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0133.2220,0,N,1,4,9,0,4,4,,60,15000,,Falta de manejo correto,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0133.2340,0,N,1,4,9,0,5,5,,50,10000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0133.3030,0,N,1,4,9,0,5,5,,48,9600,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0134.0021,0,N,1,4,9,25,50,50,,38,760,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0134.0022,0,N,1,4,9,0,750,750,,585,780,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0134.0022,0,S,1,4,9,150,350,350,,840,2400,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0135.0010,0,N,1,4,9,1,1,1,,1,1000,,"Rendimento médio: 500 kg/ha, porém o sistema não aceita número quebrado e arredonda para 1000 kg/ha",20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0139.1060,0,N,1,4,9,1,2,2,,6,3000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,2108,0139.2010,0,N,1,4,9,18,10,10,,20,2000,,,20/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0111.0020,1,N,1,4,9,,80,80,,240,3000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0111.0070,1,N,1,4,9,,60,60,,84,1400,,LAVOURAS SEM TECNICAS ADEQUADAS,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0119.1040,1,N,1,4,9,,30,30,,18,600,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0119.3010,0,N,1,4,9,3,4,4,,52,13000,,,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0121.2100,0,S,1,4,9,,15,15,,600,40000,,LAVOURAS AINDA SEM TÉCNICAS ADEQUADAS,22/02/2014,DANIELSSILVA,0,0
2014,2,32,1,1,3304,0131.0010,0,N,1,4,9,,25,25,,150,6000,,falta de técnicas adequadas empregadas na cultura,22/02/2014,DANIELSSILVA,0,0
