ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;4;13;4302;1191040;;76;4;13;13;76;91;4302;18;695;1191040
2015;11;2;5;4906;1191040;;74;2;5;5;74;38;4906;18;695;1191040
2015;11;4;12;5036;1191040;;76;4;12;12;76;88;5036;18;695;1191040
2015;11;3;9;5200;1191040;;75;3;9;9;75;62;5200;18;695;1191040
2015;11;3;9;5200;1191040;;75;3;9;9;75;62;5200;18;695;1191040
2015;11;3;7;102;1192050;;75;3;7;7;75;46;102;18;647;1192050
2015;11;1;2;136;1192050;;73;1;2;2;73;18;136;18;647;1192050
2015;11;1;3;359;1192050;;73;1;3;3;73;24;359;18;647;1192050
2015;11;4;12;706;1192050;;76;4;12;12;76;80;706;18;647;1192050
2015;11;1;3;805;1192050;;73;1;3;3;73;25;805;18;647;1192050
2015;11;1;1;904;1192050;;73;1;1;1;73;15;904;18;647;1192050
2015;11;4;12;1209;1192050;;76;4;12;12;76;82;1209;18;647;1192050
2015;11;1;1;2108;1192050;;73;1;1;1;73;16;2108;18;647;1192050
2015;11;4;11;3700;1192050;;76;4;11;11;76;78;3700;18;647;1192050
2015;11;1;3;4005;1192050;;73;1;3;3;73;29;4005;18;647;1192050
2015;11;3;10;4203;1192050;;75;3;10;10;75;68;4203;18;647;1192050
2015;11;1;3;4658;1192050;;73;1;3;3;73;30;4658;18;647;1192050
2015;11;3;9;5002;1192050;;75;3;9;9;75;60;5002;18;647;1192050
2015;11;3;7;102;1192130;;75;3;7;7;75;46;102;18;775;1192130
2015;11;3;10;409;1192130;;75;3;10;10;75;65;409;18;775;1192130
2015;11;4;12;1209;1192130;;76;4;12;12;76;82;1209;18;775;1192130
2015;11;3;8;2900;1192130;;75;3;8;8;75;54;2900;18;775;1192130
2015;11;4;12;3403;1192130;;76;4;12;12;76;85;3403;18;775;1192130
2015;11;4;12;3809;1192130;;76;4;12;12;76;86;3809;18;775;1192130
2015;11;3;7;5069;1192130;;75;3;7;7;75;52;5069;18;775;1192130
2015;11;1;2;136;1193010;;73;1;2;2;73;18;136;18;576;1193010
2015;11;1;1;904;1193010;;73;1;1;1;73;15;904;18;576;1193010
2015;11;1;3;1506;1193010;;73;1;3;3;73;26;1506;18;576;1193010
2015;11;1;1;2108;1193010;;73;1;1;1;73;16;2108;18;576;1193010
2015;11;2;5;3056;1193010;;74;2;5;5;74;36;3056;18;576;1193010
2015;11;1;1;3304;1193010;;73;1;1;1;73;17;3304;18;576;1193010
2015;11;1;3;4005;1193010;;73;1;3;3;73;29;4005;18;576;1193010
2015;11;1;3;4658;1193010;;73;1;3;3;73;30;4658;18;576;1193010
2015;11;1;2;136;1193020;;73;1;2;2;73;18;136;18;769;1193020
2015;11;1;1;904;1193020;;73;1;1;1;73;15;904;18;769;1193020
2015;11;1;3;1506;1193020;;73;1;3;3;73;26;1506;18;769;1193020
2015;11;1;3;3353;1193020;;73;1;3;3;73;28;3353;18;769;1193020
2015;11;1;3;4005;1193020;;73;1;3;3;73;29;4005;18;769;1193020
2015;11;4;13;4302;1193020;;76;4;13;13;76;91;4302;18;769;1193020
2015;11;1;3;4658;1193020;;73;1;3;3;73;30;4658;18;769;1193020
2015;11;3;10;300;1194020;;75;3;10;10;75;64;300;18;615;1194020
2015;11;4;11;3700;1194020;;76;4;11;11;76;78;3700;18;615;1194020
