ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO
2015;12;1;2;3908;1391060;22000.00
2015;12;1;2;3908;1392010;2500.00
2015;12;1;2;3908;1399060;2300.00
2015;12;1;2;3908;91194040;1200.00
2015;12;1;2;4708;1110070;500.00
2015;12;1;2;4708;1191040;2500.00
2015;12;1;2;4708;1191040;2300.00
2015;12;1;2;4708;1192050;41.00
2015;12;1;2;4708;1194040;70.00
2015;12;1;2;4708;1310010;970.00
2015;12;1;2;4708;1331040;1000.00
2015;12;1;2;4708;1332080;1000.00
2015;12;1;2;4708;1332340;800.00
2015;12;1;2;4708;1333030;520.00
2015;12;1;2;4708;1333030;520.00
2015;12;1;2;4708;1340022;5100.00
2015;12;1;2;4708;1340022;5100.00
2015;12;1;2;4708;1350010;7300.00
2015;12;1;2;4708;1391060;27900.00
2015;12;1;2;4708;1392010;2100.00
2015;12;1;2;5150;1110070;550.00
2015;12;1;2;5150;1110070;0
2015;12;1;2;5150;1191030;2200.00
2015;12;1;2;5150;1193010;1100.00
2015;12;1;2;5150;1193020;600.00
2015;12;1;2;5150;1194040;60.00
2015;12;1;2;5150;1211050;1800.00
2015;12;1;2;5150;1213110;1600.00
2015;12;1;2;5150;1320020;4000.00
2015;12;1;2;5150;1332080;800.00
2015;12;1;2;5150;1332080;800.00
2015;12;1;2;5150;1332360;2100.00
2015;12;1;2;5150;1333030;700.00
2015;12;1;2;5150;1340022;5000.00
2015;12;1;2;5150;1391060;22000.00
2015;12;1;2;5150;1392010;0
2015;12;1;2;5150;91194040;1200.00
2015;12;1;2;5176;1110070;600.00
2015;12;1;2;5176;1191040;2450.00
2015;12;1;2;5176;1191040;2450.00
2015;12;1;2;5176;1193020;400.00
2015;12;1;2;5176;1310010;710.00
2015;12;1;2;5176;1332080;900.00
2015;12;1;2;5176;1332330;600.00
2015;12;1;2;5176;1332340;800.00
2015;12;1;2;5176;1332360;2000.00
2015;12;1;2;5176;1333030;520.00
2015;12;1;2;5176;1340022;5083.00
2015;12;1;2;5176;1350010;7000.00
2015;12;1;2;5176;1391060;27000.00
2015;12;1;2;5176;1392010;2100.00
2015;12;1;2;5176;91194040;80.00
2015;12;1;3;359;1110020;1000.00
2015;12;1;3;359;1110070;550.00
2015;12;1;3;359;1130010;50.00
2015;12;1;3;359;1191030;2500.00
2015;12;1;3;359;1191030;2500.00
2015;12;1;3;359;1192050;50.00
2015;12;1;3;359;1194040;300.00
2015;12;1;3;359;1332080;960.00
2015;12;1;3;359;1332080;960.00
2015;12;1;3;359;1332340;800.00
2015;12;1;3;359;1333030;490.00
2015;12;1;3;359;1340021;5430.00
2015;12;1;3;359;1340022;5330.00
2015;12;1;3;359;1340022;5330.00
2015;12;1;3;359;1391060;0
2015;12;1;3;359;1392010;0
2015;12;1;3;359;91194040;500.00
2015;12;1;3;805;1110020;1000.00
2015;12;1;3;805;1110070;550.00
2015;12;1;3;805;1110070;550.00
