NOME;COD_PROD
MADEIRA EM TORAS (MADEIRA EM TORA PARA OUTRAS FINALIDADES) (pinheiro brasileiro nativo);2201021
MADEIRA EM TORAS (MADEIRA EM TORA PARA OUTRAS FINALIDADES) (florestas plantadas);2107020
MADEIRA PARA PAPEL E CELULOSE;2201030
MADEIRA PARA PAPEL E CELULOSE (florestas plantadas);2107030
MALVA (FIBRA) (cultivo);1122060
MALVA (FIBRA) (extrativismo);2203070
MALVA (HASTE) (cultivo);1122070
MALVA (HASTE) (extrativismo);2203080
MAMÃO;1332330
MAMONA;1160060
MANDIOCA (AIPIM, MACAXEIRA) ( para indústria);1194040
MANDIOCA (AIPIM, MACAXEIRA) ( para mesa);91194040
MANGA;1332340
MANGABA (FRUTO);2208170
MANGABEIRA (GOMA ELÁSTICA);2204070
MANIÇOBA (GOMA ELÁSTICA);2204080
MARACUJÁ;1332360
MARMELO;1332370
Maxixe (fruto)  ;1.212.050
Mel;1.591.030
MELANCIA;1193020
MELÃO;1193030
MILHO EM ESPIGA (VERDE);1216040
MILHO EM GRÃO (Total - Todas as safras);1110070
MILHO EM GRÃO (1ªsafra);1110071
MILHO EM GRÃO (2ª e 3ª safra);1110072
Milho (forrageira para corte);1.192.130
MORANGO;1212060
MURICI;2208180
MURUMURU (SEMENTE);2205070
NOVILHA PRECOCE;1511050
NOVILHAS (de 1 a menos de 2 anos), EXCETO PRECOCE;1511040
NOVILHONA (vaca estéril ou falhada);1511080
NOVILHOS (de 1 a menos de 2 anos), EXCETO PRECOCE;1511060
NOVILHOS PRECOCES (até 24 meses);1511070
NOZ (EUROPÉIA, PECÃ);1333040
NOZ MACADÂMIA;1333050
OITI;2208190
OITICICA (SEMENTE);2205080
OURICURI (CÔCO);2205090
OUTRAS FIBRAS;2203199
OUTROS PRODUTOS NÃO MADEIREIROS;2209099
Ovos de codornas ( para incubação e para outros fins);1.556.010
Ovos de galinha (exceto para incubação);1.552.010
PAINAS;2203090
PALMITO (extrativismo);2209100
PALMITO (cultivo);1399060
Pepino (fruto)  ;1.212.070
PEQUI (AMÊNDOA);2205100
PÊRA;1332400
